iter	Passed	Remaining
293	316	759
294	317	758
295	318	757
296	319	756
297	320	755
298	321	754
299	323	754
300	324	753
301	325	752
302	327	754
303	329	753
304	330	752
305	331	752
306	332	750
307	333	749
308	334	748
309	336	747
310	337	747
311	338	746
312	339	745
313	340	744
314	342	744
315	343	743
316	344	742
317	345	741
318	353	753
319	354	753
320	355	752
321	356	750
322	357	749
323	358	748
324	359	747
325	360	745
326	361	744
327	363	744
328	364	743
329	365	742
330	366	741
331	367	740
332	370	741
333	371	740
334	372	740
335	374	739
336	375	738
337	376	736
338	377	735
339	378	734
340	379	733
341	380	732
342	386	740
343	389	742
344	390	742
345	392	741
346	394	741
347	396	741
348	397	740
349	401	745
350	402	744
351	404	744
352	406	745
353	409	747
354	416	757
355	418	756
356	420	757
357	421	756
358	423	755
359	424	754
360	425	753
361	426	752
362	434	762
363	435	761
364	437	760
365	438	759
366	439	757
367	440	756
368	441	754
369	442	753
370	443	751
371	444	750
372	446	750
373	447	749
374	448	748
375	449	746
376	450	745
377	452	743
378	453	742
379	454	740
380	455	739
381	456	738
382	457	736
383	458	735
384	459	734
385	461	733
386	462	732
387	463	731
388	464	729
389	465	728
390	466	726
391	467	725
392	468	724
393	469	722
394	470	721
395	471	719
396	472	717
397	473	716
398	474	715
399	476	714
400	477	712
401	477	711
402	479	709
403	480	708
404	481	706
405	482	705
406	483	703
407	484	702
408	484	700
409	485	699
410	486	697
411	488	696
412	489	695
413	490	694
414	491	693
415	492	691
416	493	690
417	494	689
418	495	687
419	496	686
420	497	684
421	498	683
422	499	681
423	500	680
424	501	678
425	502	676
426	503	675
427	504	674
428	505	672
429	506	671
430	507	669
431	508	668
432	509	667
433	510	665
434	511	664
435	512	663
436	513	661
437	514	660
438	515	659
439	516	657
440	517	656
441	518	654
442	519	653
443	520	651
444	522	651
445	523	650
446	524	649
447	526	648
448	527	646
449	528	645
450	529	644
451	530	642
452	531	641
453	532	640
454	533	638
455	534	637
456	535	636
457	537	635
458	538	634
459	539	633
460	540	632
461	541	630
462	543	629
463	544	628
464	544	627
465	545	625
466	546	623
467	547	622
468	548	621
469	549	619
470	550	618
471	551	617
472	552	615
473	553	614
474	554	612
475	555	611
476	556	609
477	557	608
478	558	607
479	559	605
480	560	604
481	561	603
482	562	601
483	563	600
484	564	599
485	565	597
486	565	596
487	566	594
488	567	593
489	568	592
490	569	590
491	570	589
492	571	588
493	572	586
494	573	585
495	574	584
496	575	582
497	576	581
498	577	579
499	578	578
500	579	576
501	580	575
502	581	574
503	582	572
504	583	571
505	584	570
506	585	569
507	586	568
508	587	566
509	588	565
510	589	564
511	590	563
512	591	561
513	592	560
514	593	559
515	594	557
516	595	556
517	596	555
518	597	554
519	598	552
520	599	551
521	600	550
522	601	548
523	602	547
524	603	546
525	604	545
526	605	543
527	606	542
528	607	540
529	608	539
530	609	538
531	610	537
532	611	535
533	612	534
534	613	533
535	614	532
536	615	530
537	616	529
538	617	528
539	618	526
540	619	525
541	620	524
542	621	523
543	622	521
544	623	520
545	624	519
546	625	517
547	626	516
548	627	515
549	628	514
550	629	513
551	630	511
552	631	510
553	632	509
554	633	508
555	634	506
556	635	505
557	636	504
558	637	502
559	638	501
560	639	500
561	640	498
562	641	497
563	642	496
564	643	495
565	644	494
566	645	492
567	646	491
568	647	490
569	648	488
570	649	487
571	650	486
572	651	485
573	652	483
574	653	482
575	653	481
576	655	480
577	655	478
578	656	477
579	658	476
580	659	475
581	660	474
582	661	472
583	661	471
584	662	470
585	663	468
586	664	467
587	665	466
588	666	465
589	667	463
590	668	462
591	669	461
592	670	460
593	671	458
594	672	457
595	673	456
596	674	455
597	675	453
598	676	452
599	677	451
600	678	450
601	678	448
602	679	447
603	680	446
604	681	445
605	682	443
606	683	442
607	684	441
608	685	440
609	686	438
610	687	437
611	688	436
612	689	435
613	690	434
614	691	433
615	692	431
616	693	430
617	694	429
618	695	428
619	696	426
620	697	425
621	698	424
622	699	423
623	700	422
624	701	421
625	703	420
626	704	419
627	705	418
628	706	416
629	707	415
630	708	414
631	709	413
632	710	412
633	711	410
634	712	409
635	713	408
636	714	406
637	715	405
638	716	404
639	717	403
640	718	402
641	719	401
642	720	400
643	721	399
644	722	397
645	724	396
646	725	395
647	726	394
648	727	393
649	728	392
650	729	390
651	730	389
652	731	388
653	733	387
654	734	386
655	735	385
656	736	384
657	737	383
658	738	382
659	739	381
660	740	379
661	741	378
662	742	377
663	743	376
664	745	375
665	746	374
666	747	373
667	748	372
668	749	370
669	751	369
670	752	368
671	753	367
672	754	366
673	755	365
674	756	364
675	757	363
676	758	361
677	759	360
678	760	359
679	761	358
680	762	357
681	764	356
682	765	355
683	766	354
684	767	352
685	768	351
686	769	350
687	770	349
688	771	348
689	772	347
690	773	345
691	774	344
692	775	343
693	776	342
694	778	341
695	779	340
696	780	339
697	781	338
698	782	336
699	783	335
700	784	334
701	785	333
702	786	332
703	787	331
704	788	329
705	789	328
706	790	327
707	791	326
708	793	325
709	794	324
710	795	323
711	796	322
712	797	321
713	798	319
714	799	318
715	800	317
716	801	316
717	802	315
718	803	314
719	804	313
720	805	311
721	807	310
722	808	309
723	809	308
724	810	307
725	811	306
726	813	305
727	814	304
728	815	303
729	816	301
730	817	300
731	818	299
732	819	298
733	820	297
734	822	296
735	823	295
736	824	294
737	825	293
738	826	291
739	827	290
740	828	289
741	829	288
742	830	287
743	831	286
744	832	284
745	833	283
746	834	282
747	835	281
748	836	280
749	837	279
750	838	278
751	839	276
752	840	275
753	842	274
754	843	273
755	844	272
756	845	271
757	846	270
758	847	268
759	848	267
760	849	266
761	849	265
762	851	264
763	852	263
764	853	262
765	854	260
766	855	259
767	856	258
768	857	257
769	858	256
770	859	255
771	860	254
772	861	252
773	862	251
774	863	250
775	864	249
776	865	248
777	866	247
778	867	245
779	868	244
780	869	243
781	870	242
782	871	241
783	872	240
784	874	239
785	875	238
786	876	237
787	877	235
788	878	234
789	879	233
790	880	232
791	880	231
792	881	230
793	882	229
794	884	227
795	885	226
796	886	225
797	887	224
798	889	223
799	890	222
800	891	221
801	892	220
802	893	219
803	894	218
804	895	216
805	896	215
806	897	214
807	898	213
808	899	212
809	900	211
810	902	210
811	903	209
812	904	208
813	905	206
814	906	205
815	907	204
816	908	203
817	909	202
818	910	201
819	911	200
820	913	199
821	914	198
822	915	197
823	917	195
824	918	194
825	919	193
826	920	192
827	921	191
828	922	190
829	923	189
830	924	188
831	926	186
832	927	186
833	929	184
834	930	183
835	932	182
836	933	181
837	934	180
838	935	179
839	936	178
840	937	177
841	938	176
842	939	174
843	941	173
844	942	172
845	943	171
846	944	170
847	945	169
848	946	168
849	947	167
850	949	166
851	950	165
852	951	163
853	952	162
854	953	161
855	954	160
856	955	159
857	956	158
858	957	157
859	958	156
860	959	154
861	960	153
862	961	152
863	962	151
864	963	150
865	964	149
866	965	148
867	966	146
868	967	145
869	968	144
870	969	143
871	970	142
872	971	141
873	972	140
874	973	139
875	973	137
876	974	136
877	976	135
878	977	134
879	978	133
880	979	132
881	980	131
882	981	130
883	982	128
884	983	127
885	984	126
886	985	125
887	987	124
888	988	123
889	989	122
890	990	121
891	991	119
892	992	118
893	993	117
894	994	116
895	995	115
896	996	114
897	997	113
898	998	112
899	999	111
900	1000	109
901	1001	108
902	1001	107
903	1002	106
904	1004	105
905	1005	104
906	1005	103
907	1006	102
908	1007	100
909	1008	99
910	1009	98
911	1010	97
912	1011	96
913	1012	95
914	1013	94
915	1014	93
916	1015	91
917	1016	90
918	1017	89
919	1018	88
920	1019	87
921	1020	86
922	1021	85
923	1022	84
924	1023	82
925	1024	81
926	1025	80
927	1026	79
928	1026	78
929	1027	77
930	1028	76
931	1029	75
932	1030	74
933	1031	72
934	1032	71
935	1033	70
936	1034	69
937	1035	68
938	1036	67
939	1037	66
940	1038	65
941	1040	64
942	1040	62
943	1041	61
944	1042	60
945	1043	59
946	1044	58
947	1045	57
948	1047	56
949	1048	55
950	1049	54
951	1050	52
952	1051	51
953	1052	50
954	1053	49
955	1054	48
956	1055	47
957	1056	46
958	1057	45
959	1058	44
960	1059	42
961	1060	41
962	1061	40
963	1061	39
964	1062	38
965	1063	37
966	1064	36
967	1066	35
968	1067	34
969	1068	33
970	1068	31
971	1069	30
972	1070	29
973	1071	28
974	1072	27
975	1073	26
976	1074	25
977	1075	24
978	1076	23
979	1077	21
980	1078	20
981	1079	19
982	1080	18
983	1081	17
984	1082	16
985	1083	15
986	1084	14
987	1085	13
988	1086	12
989	1087	10
990	1088	9
991	1089	8
992	1089	7
993	1090	6
994	1091	5
995	1092	4
996	1093	3
997	1095	2
998	1096	1
999	1097	0
